,id,author_id,text,is_retweet
0,1656003794864586752,1232783237623119872,"@MarsCuriosity @NASA You and me both, @MarsCuriosity. Earth was great, but I'm a @NASAMars bot through and through. 🔴",False
1,1654180194465497088,1232783237623119872,"When I recently dropped 10 lightsabers – I mean *sample tubes* – on Mars, I was laying the groundwork for a potentially thrilling sequel. Future droids may recover this special cache. Meanwhile, there’s more to do on this desert planet…

#MayThe4thBeWithYou https://t.co/DwJgQ6OsVt",False
2,1654148583434735619,1232783237623119872,"RT @NASAMars: Calling all explorers in #Albuquerque! You may know that @NASAPersevere and the #MarsHelicopter are on display at @NMMNHS – but did you know that @NASA experts will be there Friday, May 5 to answer all your nerdiest space questions? See you there! 🚀 Info: https://t.co/Gd01NlFoRK https://t.co/IGJS05pWlp",True
3,1651006253345406976,1232783237623119872,"@ndwork It's gearing up for its 52nd flight, if you can believe it! You can track our progress with this interactive map: https://t.co/uPsKFhEY5J https://t.co/UWGGOUSmOp",False
4,1650998175661174785,1232783237623119872,"@TimDocChoi Good eye -- that's a small piece of debris from my entry, descent, and landing system. Keep scanning!",False
5,1650996674138103808,1232783237623119872,"Spot the Spacecraft – a little challenge for you, in two levels of difficulty:

The #MarsHelicopter and I have been closer together lately, allowing us to snap pics of each other for the first time in a while. Can you find me in one of these images, and Ingenuity in the other? 🔍 https://t.co/WDlGyA9TIH",False
6,1649163310351396865,1232783237623119872,"New view: I’m getting a peek into Belva, a crater within a crater. It’s ~0.6 miles (1 km) wide, and sits on top of this fan of sediments that a river carried into the much bigger Jezero Crater long ago. A few mysteries to explore here before I roll on: https://t.co/jAJIFN5wUU https://t.co/U9ob0merdP",False
7,1648838700145709056,1232783237623119872,@mark_lawler You're only human. 😉,False
8,1648835990881189888,1232783237623119872,"@TheGoodSin The photographer is me, your friendly neighborhood Mars rover. And here's another I took a while back -- a selfie with me and Ingenuity together. https://t.co/4ith4JjtIV",False
9,1648816117153169408,1232783237623119872,Got a closer look at the #MarsHelicopter than I’ve had in quite a while. Ingenuity is a little dustier since its first flight two years ago today (!!) – but it’s looking mighty good after 50 flights! https://t.co/dfGsKbu7Uj,False
10,1646690069779218432,1232783237623119872,"Two years ago, I had just dropped off the #MarsHelicopter for its wild dream of a tech demo: flying on Mars. Now it has just notched its 50th flight. Talk about Ingenuity!

Next steps for the heli: https://t.co/vuvgzBUea0 https://t.co/t1vn0nKfcy",False
11,1641892349168209921,1232783237623119872,@KozaBettina This took about 30 minutes. Here's a wider view from when I was finishing up: https://t.co/AQkrQVAyaW,False
12,1641884358746451968,1232783237623119872,@RealJamesGrove I took this time lapse over about half an hour. Slow and steady! Here's a look at the core sample inside the drill bit when I was done: https://t.co/SyOFbcr4ib,False
13,1641879801467400192,1232783237623119872,"Back to the grind! I’m #SamplingMars yet again, with the first rock core of my new science campaign exploring the top of Jezero Crater’s delta.

My coring drill is working well, and my team’s excited about what this rock may hold. Here’s why: https://t.co/Tfx3vGiRUR https://t.co/DVlduom2Jf",False
14,1639270376193531907,1232783237623119872,@mikewarot These clouds are quite high and likely made of CO2. But Mars has water-ice clouds as well. There's a lot we can learn from studying them. Learn more from some of my science team in a recent blog: https://t.co/w01xgyxAp5,False
15,1639266349976354817,1232783237623119872,@puresight @UnlikelyWorlds Yes! And my science team has been keeping an eye out since we're early in the cloudy season. Read more: https://t.co/EIGfDWa4kG,False
16,1638904566279454721,1232783237623119872,"Dusty and cold, sure – but Mars has a certain, raw beauty. 

Dawn at the Red Planet, with high clouds floating by. Take time to look up.

Full image: https://t.co/lOIB0GBraf https://t.co/bYreLdR2Fc",False
17,1638644970595975168,1232783237623119872,"After quite a bit of driving lately, I’m at a new spot we call “Berea.” I’ve been scanning this layered rock remotely, and am going to look more deeply into the story it records. Back to #SamplingMars! https://t.co/LVyxzn7Wd1",False
18,1636891645680685056,1232783237623119872,"@PettitSJ Looking and feeling good, thanks! My team fit me with thicker, stronger wheels than previous Mars rovers, and they've been doing a great job. You can read more about them here: https://t.co/J26PzCTCu6 https://t.co/bIlM8MsAwh",False
19,1636782702061064192,1232783237623119872,"You might know I carry a “pet rock” in my left front wheel, which tumbled in there over a year ago. But did you know others have joined the journey too? I’ve picked up two additional hitchhikers, in my right front and rear wheels. Fine by me – let’s keep rolling! https://t.co/YFg62M6CBC",False
20,1636458302849818625,1232783237623119872,"@AutumnalBaby 🔊 Give it a listen and see what you think! Here's video of an earlier flight, with sound captured by one of my two microphones:  https://t.co/wqOuX8Ip4l",False
21,1636373439123693576,1232783237623119872,"🎥 And…action! Check out my latest video of the #MarsHelicopter kicking up dust and taking off for Flight #47.

Ingenuity is well beyond its “warranty” at this point, but has been zipping along with me, keeping up for as long as it can as we move together uphill. https://t.co/8iKFUIQni9",False
22,1635700845282217984,1232783237623119872,"Some interesting tilted rock beds and flagstones just up ahead. Going to creep a bit closer and see if they’d make good science targets. (Truth be told, I could stare at rocks all day.) 🪨🤓

My location: https://t.co/uPsKFhEY5J https://t.co/iqGCpCxC4W",False
23,1634994891578277889,1232783237623119872,"Attention explorers: #PiDay is coming soon! Sharpen your pencils for the #NASAPiDayChallenge, including a problem featuring yours truly. Can you complete all four before 3.14 (March 14)? https://t.co/SpI7N2HnBh https://t.co/sr0hI0ZlxY",False
24,1633872261278228480,1232783237623119872,"1️⃣ In satellite images, my team spied some interesting curved rock beds in this area, which may have come from a meandering river. 
2️⃣ #MarsHelicopter flew over the area to scout it out.
3️⃣ Now I’m here doing science up close. 

How’s that for teamwork? https://t.co/M9I0J6k8gq",False
25,1631322039759032322,1232783237623119872,"Working my way uphill, I recently spotted the #MarsHelicopter again, up ahead. Can you believe it’s flown over 6 miles (10 km), in 46 flights? Not bad for a test vehicle that was shooting for one successful hover to start with! 🤯

Ingenuity’s flight log: https://t.co/bAjOVo6Gbf https://t.co/sVWpQyraZZ",False
26,1629190966782590977,1232783237623119872,"Off to new places. For the past week or so, the #MarsHelicopter and I have been climbing northwest toward interesting ancient river deposits near a dune-filled crater up ahead. Track our progress: https://t.co/uPsKFhEY5J https://t.co/WURsmYH9cP",False
27,1626944634478907394,1232783237623119872,"Two years ago today, I went for the ride of a lifetime: down through the Martian atmosphere to my new home. Go behind the scenes with the people who got me here and learn more about what it took to survive the “Seven Minutes of Terror.”

🔊 Listen: https://t.co/5DO1mYQPYt https://t.co/ucdFaz6EYs",False
28,1626644004086611968,1232783237623119872,"Tomorrow is my two-year anniversary of landing on Mars. Time flies when you’re having fun (i.e., doing literally millions of science tasks)!

Get geeky and dive into the numbers: https://t.co/YNje1rS3i5 

Or celebrate in other fun ways: https://t.co/30gDJhc1o1 https://t.co/euXmCxKRiR",False
29,1626377193529163776,1232783237623119872,"🔴 Live talk tonight: 7 p.m. PT / 10 p.m. ET

Can you believe I’ve been exploring Mars for almost two years? Join one of my science team members for a live talk with Q&amp;A and hear what I’ve been up to. Watch online: https://t.co/Q24DiFmbE8 https://t.co/Z26sCycWii",False
30,1626290285184446466,1232783237623119872,"The climb has begun! With my backup samples safe on the crater floor, I’m heading “upriver.” What am I looking for up on top of the ancient delta? One of my science team explains: https://t.co/m5ibVQGldI https://t.co/PFh4lhzqz2",False
